;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Standard-type, reduced sodium (RitzTM);4;12;60;252;1;7;tr;0,02;3;0,05;0;14;0,04;45;43;3;27;tr;0,04;0,07;17;;;;
Wheat crackers;4;20;95;396;2;13;1;1,04;3;2,00;0;10;1,00;173;60;12;44;0,01;0,07;1,04;37;;;;
Wheat crackers, low fat;4;18;79;330;2;12;2;0,09;2;1,02;tr;34;0,07;112;72;13;52;0,01;0,10;1,03;28;;;;
Whole wheat crackers;4;16;71;296;1;11;tr;1,07;3;0,05;0;8;0,05;105;48;16;47;tr;0,02;1,01;4;;;;
Baked Goods;;;;;;;;;;;;;;;;;;;;;;;;;
Biscuits, Croissants, and Muffins;;;;;;;;;;;;;;;;;;;;;;;;;
Biscuit, plain or buttermilk, fast food;1;51;186;776;3;25;2;0,07;8;1,03;1;25;1,07;537;114;9;219;0,02;0,15;2,04;58;;;;
Biscuit, plain or buttermilk, from mix, baked;1;30;97;404;2;14;3;0,04;4;1,00;2;54;0,06;273;55;7;136;0,01;0.1 1;1,04;31;;;;
Biscuit, plain or buttermilk, homemade;1;60;212;888;4;27;1;0,09;10;2,06;2;141;1,07;348;73;11;98;0,02;0,19;2,06;57;;;;
Biscuit, plain, refrigerated dough, baked;1;27;93;391;2;13;tr;0,04;4;1,00;0;5;0,07;325;42;4;104;0,01;0,06;1,02;37;;;;
Croissant, butter;1;57;231;968;5;26;6;1,05;12;6,06;38;21;1,02;424;67;9;60;0,02;0,14;2,02;74;;;;
Muffin, blueberry, from mix, prepared;1;54;149;623;3;24;N/A;N/A;5;1,02;32;14;0,06;216;41;6;93;0,01;0,17;1,09;61;;;;
Muffin, bran, from mix, prepared;1;55;159;666;4;27;N/A;N/A;5;1,04;32;18;1,05;271;84;33;189;0,01;0,13;2,09;38;;;;
Muffin, bran, homemade;1;57;199;833;4;32;13;3,07;8;0,09;23;82;2,03;242;363;80;129;0,01;0,16;3,00;37;;;;
Muffin, carrot, commercial;1;113;344;1439;7;49;17;1,09;14;1,06;34;100;2,02;396;208;18;117;0,03;0,31;4,01;90;;;;
Muffin, chocolate chip, commercial;1;113;366;1530;8;53;16;2,04;14;5,03;37;116;2,09;341;192;34;147;0,03;0,35;4,06;102;;;;
Muffin, fruit, commercial;1;113;313;1309;6;54;22;2,09;7;1,06;34;64;1,08;505;139;18;223;0,02;0,14;2,05;129;;;;
Muffin, fruit, homemade;1;57;162;679;4;23;N/A;0,09;6;1,02;21;108;1,03;251;70;9;83;0,02;0,16;2,00;42;;;;
Cookies, Granola Bars and Other Bars;;;;;;;;;;;;;;;;;;;;;;;;;
Bars;;;;;;;;;;;;;;;;;;;;;;;;;
Breakfast bar, Oatmeal to GoTM;1;47;197;825;3;33;10;2,04;5;0,09;tr;17;4,02;202;102;N/A;N/A;0,07;N/A;1,07;N/A;;;;
